"","STATE","RACE","date","COVID_IMPUTED","NOCOVID_IMPUTED"
"84","LA","White alone","2020-03-07",35.25078,2161437.23397907
"85","MA","Any other race alone or in combination","2020-03-07",66.469216941834,85356.8735386636
"86","MA","Black alone","2020-03-07",54.66495,385558.071078034
"87","MA","Hispanic","2020-03-07",54.66495,594913.007491576
"88","MA","White alone","2020-03-07",138.237411166276,4079992.03849478
"89","MD","Any other race alone or in combination","2020-03-07",56.4121641849946,93948.2765869531
"90","MD","Black alone","2020-03-07",46.31222,1401740.47282658
"91","MD","Hispanic","2020-03-07",46.31222,423808.070260913
"92","MD","White alone","2020-03-07",46.31222,2474028.97006852
"93","ME","Any other race alone or in combination","2020-03-07",12.9741912683841,20395.2485073062
"94","ME","Black alone","2020-03-07",10.8208,14261.6437550235
"95","ME","Hispanic","2020-03-07",10.8208,16451.7150373948
"96","ME","White alone","2020-03-07",10.8208,1030541.72229776
"97","MI","Any other race alone or in combination","2020-03-07",93.2156648479187,170596.786929518
"98","MI","Black alone","2020-03-07",77.18977,1032101.99361356
"99","MI","Hispanic","2020-03-07",77.18977,345850.589780131
"100","MI","White alone","2020-03-07",77.18977,6033197.79569437
"101","MN","Any other race alone or in combination","2020-03-07",51.2929832845383,107646.428357557
"102","MN","Black alone","2020-03-07",42.72156,250665.726760576
"103","MN","Hispanic","2020-03-07",42.72156,197513.511632873
"104","MN","White alone","2020-03-07",42.72156,3570792.09363086
"105","MO","Any other race alone or in combination","2020-03-07",61.9097349307751,97616.8712883539
"106","MO","Black alone","2020-03-07",46.96315,527866.237668042
"107","MO","Hispanic","2020-03-07",46.96315,172961.329365122
"108","MO","White alone","2020-03-07",46.96315,3865177.61957753
"109","MS","Any other race alone or in combination","2020-03-07",26.668414198692,29349.8118236692
"110","MS","Black alone","2020-03-07",22.59817,823630.461861003
"111","MS","Hispanic","2020-03-07",22.59817,65072.0213431435
"112","MS","White alone","2020-03-07",22.59817,1333867.94206669
"113","MT","Any other race alone or in combination","2020-03-07",11.7240822586843,59744.1679245046
"114","MT","Black alone","2020-03-07",8.23968,4255.94835114444
"115","MT","Hispanic","2020-03-07",8.23968,28025.9963062284
"116","MT","White alone","2020-03-07",8.23968,740326.400523226
"117","NC","Any other race alone or in combination","2020-03-07",97.9137176827214,202427.9662356
"118","NC","Black alone","2020-03-07",80.79919,1722460.17531301
"119","NC","Hispanic","2020-03-07",80.79919,636908.193074964
"120","NC","White alone","2020-03-07",80.79919,5378035.04036607
"121","NE","Any other race alone or in combination","2020-03-07",17.4685523930562,30289.9963684965
"122","NE","Black alone","2020-03-07",14.39892,66421.4161851647
"123","NE","Hispanic","2020-03-07",14.39892,133563.261206375
"124","NE","White alone","2020-03-07",14.39892,1189484.0040551
"125","NH","Any other race alone or in combination","2020-03-07",12.675059344632,15272.4196603884
"126","NH","Black alone","2020-03-07",10.91954,14933.6543499047
"127","NH","Hispanic","2020-03-07",10.91954,37609.525119923
"128","NH","White alone","2020-03-07",10.91954,1005252.6835079
"129","NJ","Any other race alone or in combination","2020-03-07",98.7144341098484,89493.3795472252
"130","NJ","Black alone","2020-03-07",83.462616863488,889476.54524643
"131","NJ","Hispanic","2020-03-07",134.622727716522,1318342.40145257
"132","NJ","White alone","2020-03-07",207.016649959405,3960442.82952144
"133","NM","Any other race alone or in combination","2020-03-07",20.1192760315543,157440.526931258
"134","NM","Black alone","2020-03-07",16.0091,31259.2928733069
"135","NM","Hispanic","2020-03-07",16.0091,745640.881247945
"136","NM","White alone","2020-03-07",16.0091,659437.309963099
"137","NV","Any other race alone or in combination","2020-03-07",34.4818934696381,97835.9586762636
"138","NV","Black alone","2020-03-07",23.2554,213739.01736387
"139","NV","Hispanic","2020-03-07",23.2554,615506.047260004
"140","NV","White alone","2020-03-07",23.2554,1244261.61388343
"141","NY","Any other race alone or in combination","2020-03-07",177.610460317005,255115.617819496
"142","NY","Black alone","2020-03-07",152.219,2210075.21515498
"143","NY","Hispanic","2020-03-07",152.219,2744089.77304026
"144","NY","White alone","2020-03-07",152.219,8824551.2405201
"145","OH","Any other race alone or in combination","2020-03-07",108.568394069468,150519.011529066
"146","OH","Black alone","2020-03-07",89.82663,1091986.86852283
"147","OH","Hispanic","2020-03-07",89.82663,303213.531555518
"148","OH","White alone","2020-03-07",89.82663,7341725.69924065
"149","OK","Any other race alone or in combination","2020-03-07",48.8503451032632,376083.946849318
"150","OK","Black alone","2020-03-07",28.72328,218827.090212494
"151","OK","Hispanic","2020-03-07",28.72328,269959.615366266
"152","OK","White alone","2020-03-07",28.72328,2068170.44151161
"153","OR","Any other race alone or in combination","2020-03-07",49.0111352460052,136325.070427146
"154","OR","Black alone","2020-03-07",32.64649,61964.1433262895
"155","OR","Hispanic","2020-03-07",32.64649,373343.035667233
"156","OR","White alone","2020-03-07",32.64649,2616265.20397892
"157","PA","Any other race alone or in combination","2020-03-07",115.857175078151,130965.681275657
"158","PA","Black alone","2020-03-07",100.54184,1050002.10702227
"159","PA","Hispanic","2020-03-07",100.54184,663680.256395604
"160","PA","White alone","2020-03-07",100.54184,7952725.58733328
"161","RI","Any other race alone or in combination","2020-03-07",10.3015722777089,16888.8385998989
"162","RI","Black alone","2020-03-07",8.41934,49407.2963893955
"163","RI","Hispanic","2020-03-07",8.41934,118410.689911175
"164","RI","White alone","2020-03-07",8.41934,639685.777180042
"165","SC","Any other race alone or in combination","2020-03-07",48.7250310878646,62728.8475946899
"166","SC","Black alone","2020-03-07",39.92363,1034744.89821334
"167","SC","Hispanic","2020-03-07",39.92363,197758.165786427
"168","SC","White alone","2020-03-07",39.92363,2670134.1902634
"169","SD","Any other race alone or in combination","2020-03-07",8.77209775159134,55619.3235311577
"170","SD","Black alone","2020-03-07",6.58032,13054.4469993389
"171","SD","Hispanic","2020-03-07",6.58032,21843.4653742859
"172","SD","White alone","2020-03-07",19.8211774654309,566908.762999127
"173","TN","Any other race alone or in combination","2020-03-07",63.9742671091458,82621.7672248229
"174","TN","Black alone","2020-03-07",52.55561,856135.604172815
"175","TN","Hispanic","2020-03-07",52.55561,237528.82173909
"176","TN","White alone","2020-03-07",52.55561,4041134.79359096
"177","TX","Any other race alone or in combination","2020-03-07",251.522284129027,334888.440102165
"178","TX","Black alone","2020-03-07",213.56393,2626191.81856345
"179","TX","Hispanic","2020-03-07",213.56393,7865466.95903865
"180","TX","White alone","2020-03-07",213.56393,9632935.27462851
"181","UT","Any other race alone or in combination","2020-03-07",37.8394701759263,78502.9542066335
"182","UT","Black alone","2020-03-07",22.39619,26148.5576247042
"183","UT","Hispanic","2020-03-07",22.39619,294220.327475704
"184","UT","White alone","2020-03-07",22.39619,1810709.59587575
"185","VA","Any other race alone or in combination","2020-03-07",81.8350428298852,148503.038906403
"186","VA","Black alone","2020-03-07",65.5001,1262845.27077136
"187","VA","Hispanic","2020-03-07",65.5001,565220.095849499
"188","VA","White alone","2020-03-07",65.5001,4239974.45203018
"189","VT","Any other race alone or in combination","2020-03-07",6.08575677754019,9032.97739569986
"190","VT","Black alone","2020-03-07",5.02849,5986.1878188352
"191","VT","Hispanic","2020-03-07",5.02849,9448.3128124267
"192","VT","White alone","2020-03-07",5.02849,476089.160318755
"193","WA","Any other race alone or in combination","2020-03-07",113.089346031845,295711.917038957
"194","WA","Black alone","2020-03-07",64.3089422602686,230010.695879506
"195","WA","Hispanic","2020-03-07",64.3209048039192,633463.679891527
"196","WA","White alone","2020-03-07",263.008117173916,4212215.97895043
"197","WI","Any other race alone or in combination","2020-03-07",52.5685583659425,89958.8269573844
"198","WI","Black alone","2020-03-07",45.05733,260601.462817038
"199","WI","Hispanic","2020-03-07",45.05733,259514.42311291
"200","WI","White alone","2020-03-07",45.05733,3819550.45387678
"201","WV","Any other race alone or in combination","2020-03-07",17.1016422751494,19685.043228522
"202","WV","Black alone","2020-03-07",14.16466,49752.038075896
"203","WV","Hispanic","2020-03-07",14.16466,21097.7697948398
"204","WV","White alone","2020-03-07",14.16466,1330153.71080909
"205","WY","Any other race alone or in combination","2020-03-07",5.78559959052219,14573.5371690619
"206","WY","Black alone","2020-03-07",4.39083,4985.8027795114
"207","WY","Hispanic","2020-03-07",4.39083,38577.1060303703
"208","WY","White alone","2020-03-07",4.39083,381779.421375978
"209","AK","Any other race alone or in combination","2020-03-14",10.2793454219026,108583.783613738
"210","AK","Black alone","2020-03-14",5.24134,18705.026094921
"211","AK","Hispanic","2020-03-14",5.24134,35346.2639287829
"212","AK","White alone","2020-03-14",5.24134,352204.612413082
"213","AL","Any other race alone or in combination","2020-03-14",47.3744470542305,66666.8631015972
"214","AL","Black alone","2020-03-14",40.0307582290468,984172.408217507
"215","AL","Hispanic","2020-03-14",37.7296,134003.317752363
"216","AL","White alone","2020-03-14",86.1009220270407,2573424.68242862
"217","AR","Any other race alone or in combination","2020-03-14",35.600733173368,56798.6504822626
"218","AR","Black alone","2020-03-14",22.85673,341521.359440302
"219","AR","Hispanic","2020-03-14",22.85673,147907.972012231
"220","AR","White alone","2020-03-14",49.7816974075677,1733784.30277436
"221","AZ","Any other race alone or in combination","2020-03-14",73.646152897532,304245.608181215
"222","AZ","Black alone","2020-03-14",55.51119,244438.163201822
"223","AZ","Hispanic","2020-03-14",60.9886590615445,1581119.0219379
"224","AZ","White alone","2020-03-14",55.51119,3305841.94107175
"225","CA","Any other race alone or in combination","2020-03-14",473.657934324063,920617.448114453
"226","CA","Black alone","2020-03-14",327.493962456393,1769883.56775516
"227","CA","Hispanic","2020-03-14",514.958949218591,10946811.9162019
"228","CA","White alone","2020-03-14",929.831600292576,12141659.1502002
"229","CO","Any other race alone or in combination","2020-03-14",97.8035128566426,114454.200345255
"230","CO","Black alone","2020-03-14",52.868016141636,178526.133119476
"231","CO","Hispanic","2020-03-14",171.925421867674,860587.073134473
"232","CO","White alone","2020-03-14",641.356008792063,3191248.63895633
"233","CT","Any other race alone or in combination","2020-03-14",43.5859512594946,42104.4361431676
"234","CT","Black alone","2020-03-14",34.4350027056401,285431.567464527
"235","CT","Hispanic","2020-03-14",36.8833585464753,416858.111432661
"236","CT","White alone","2020-03-14",161.222060944727,1958132.74556305
"237","DC","Any other race alone or in combination","2020-03-14",13.0436027658801,12495.9575341816
"238","DC","Black alone","2020-03-14",55.6863507947851,245968.311638701
"239","DC","Hispanic","2020-03-14",18.208903228458,57603.7916319938
"240","DC","White alone","2020-03-14",65.7607038654743,233944.239875236
"241","DE","Any other race alone or in combination","2020-03-14",9.13141088239958,14692.9546346103
"242","DE","Black alone","2020-03-14",7.58262,162873.54247366
"243","DE","Hispanic","2020-03-14",7.58262,59795.9325846978
"244","DE","White alone","2020-03-14",7.58262,501779.125107448
"245","FL","Any other race alone or in combination","2020-03-14",227.253128808933,260005.458895532
"246","FL","Black alone","2020-03-14",170.43784,2492963.96747213
"247","FL","Hispanic","2020-03-14",433.174742142883,4305722.48188952
"248","FL","White alone","2020-03-14",742.108527254904,9687462.38779781
"249","GA","Any other race alone or in combination","2020-03-14",104.230035710298,129304.821739721
"250","GA","Black alone","2020-03-14",137.290900299299,2519199.68076831
"251","GA","Hispanic","2020-03-14",83.921444959385,673019.100760246
"252","GA","White alone","2020-03-14",190.632729183367,4436521.28514194
"253","HI","Any other race alone or in combination","2020-03-14",34.1936087929397,289446.903240637
"254","HI","Black alone","2020-03-14",9.30345,22204.2491550337
"255","HI","Hispanic","2020-03-14",9.30345,95400.0549740113
"256","HI","White alone","2020-03-14",9.30345,263361.205311265
"257","IA","Any other race alone or in combination","2020-03-14",29.9255021134751,35676.152371929
"258","IA","Black alone","2020-03-14",24.0228,82854.896537672
"259","IA","Hispanic","2020-03-14",24.0228,122621.337585483
"260","IA","White alone","2020-03-14",26.5710366558407,2123266.09779037
"261","ID","Any other race alone or in combination","2020-03-14",27.56054875519,38269.4394518693
"262","ID","Black alone","2020-03-14",15.8633077452304,9420.13669291616
"263","ID","Hispanic","2020-03-14",15.889477431867,146812.110522252
"264","ID","White alone","2020-03-14",140.925116495823,1123509.07488197
"265","IL","Any other race alone or in combination","2020-03-14",148.060745108561,130748.009765682
"266","IL","Black alone","2020-03-14",330.428690420427,1356427.66897348
"267","IL","Hispanic","2020-03-14",144.075717335519,1518948.89043686
"268","IL","White alone","2020-03-14",564.486599576251,6260399.35531565
"269","IN","Any other race alone or in combination","2020-03-14",64.7104355454996,78139.5135277593
"270","IN","Black alone","2020-03-14",78.1556406801295,469025.909622991
"271","IN","Hispanic","2020-03-14",51.00687,309788.53190502
"272","IN","White alone","2020-03-14",176.792162064749,4175215.47426886
"273","KS","Any other race alone or in combination","2020-03-14",28.1895995470644,60385.1318363636
"274","KS","Black alone","2020-03-14",21.72931,124085.283599381
"275","KS","Hispanic","2020-03-14",21.72931,225248.922440556
"276","KS","White alone","2020-03-14",24.8905148055992,1732279.06195729
"277","KY","Any other race alone or in combination","2020-03-14",43.051214858229,50896.0297987503
"278","KY","Black alone","2020-03-14",34.23949,275064.573602428
"279","KY","Hispanic","2020-03-14",34.23949,109039.875974348
"280","KY","White alone","2020-03-14",38.2051087850877,2977297.26823415
"281","LA","Any other race alone or in combination","2020-03-14",78.7037362185714,60767.2962685279
"282","LA","Black alone","2020-03-14",357.997515393066,1106765.00249702
"283","LA","Hispanic","2020-03-14",59.0494770417209,167030.95052527
"284","LA","White alone","2020-03-14",152.112539262551,2161294.88743724
"285","MA","Any other race alone or in combination","2020-03-14",121.653431817228,85301.4011125906
"286","MA","Black alone","2020-03-14",86.9140363636968,385524.091134119
"287","MA","Hispanic","2020-03-14",132.437962366666,594832.568937266
"288","MA","White alone","2020-03-14",726.593270209132,4079395.33630882
"289","MD","Any other race alone or in combination","2020-03-14",56.4121641849946,93947.8826457344
"290","MD","Black alone","2020-03-14",46.31222,1401693.7317778
"291","MD","Hispanic","2020-03-14",46.31222,423793.937676585
"292","MD","White alone","2020-03-14",46.31222,2473944.63981706
"293","ME","Any other race alone or in combination","2020-03-14",14.248661616664,20393.7675488098
"294","ME","Black alone","2020-03-14",10.8208,14261.21293035
"295","ME","Hispanic","2020-03-14",10.8208,16451.218098216
"296","ME","White alone","2020-03-14",56.6938479907929,1030463.27410582
"297","MI","Any other race alone or in combination","2020-03-14",138.350650344695,170550.663378482
"298","MI","Black alone","2020-03-14",479.129832575385,1031679.92260107
"299","MI","Hispanic","2020-03-14",91.3967513781691,345829.609284324
"300","MI","White alone","2020-03-14",478.702782627586,6032678.21648291
"301","MN","Any other race alone or in combination","2020-03-14",51.885349462864,107644.499205669
"302","MN","Black alone","2020-03-14",42.72156,250657.611326551
"303","MN","Hispanic","2020-03-14",42.72156,197507.116782547
"304","MN","White alone","2020-03-14",60.1152428040771,3570647.33769296
"305","MO","Any other race alone or in combination","2020-03-14",61.9097349307751,97616.4217646368
"306","MO","Black alone","2020-03-14",46.96315,527855.182096493
"307","MO","Hispanic","2020-03-14",46.96315,172957.706255844
"308","MO","White alone","2020-03-14",46.96315,3865096.67355654
"309","MS","Any other race alone or in combination","2020-03-14",27.1864111486748,29348.9229227815
"310","MS","Black alone","2020-03-14",43.2337379480433,823577.368960355
"311","MS","Hispanic","2020-03-14",22.59817,65069.7948917211
"312","MS","White alone","2020-03-14",31.1180727434611,1333810.71147892
"313","MT","Any other race alone or in combination","2020-03-14",11.9498302011479,59742.3615961841
"314","MT","Black alone","2020-03-14",8.23968,4255.79132553623
"315","MT","Hispanic","2020-03-14",8.23968,28024.9637766996
"316","MT","White alone","2020-03-14",13.3086908612732,740292.176435514
"317","NC","Any other race alone or in combination","2020-03-14",98.6593988817279,202424.314549998
"318","NC","Black alone","2020-03-14",80.79919,1722404.52543773
"319","NC","Hispanic","2020-03-14",80.79919,636887.614321076
"320","NC","White alone","2020-03-14",105.587519082728,5377813.32243418
"321","NE","Any other race alone or in combination","2020-03-14",17.4685523930562,30289.8686394688
"322","NE","Black alone","2020-03-14",14.39892,66420.6427433118
"323","NE","Hispanic","2020-03-14",14.39892,133561.70610328
"324","NE","White alone","2020-03-14",14.39892,1189470.15598616
"325","NH","Any other race alone or in combination","2020-03-14",13.7474807798317,15271.253220067
"326","NH","Black alone","2020-03-14",10.91954,14933.0834220785
"327","NH","Hispanic","2020-03-14",10.91954,37608.0879001248
"328","NH","White alone","2020-03-14",52.3208742084792,1005172.75995504
